boundary  -10 0  10 9.9
dielectric  3.9
net net0   0.6530 0.2100   0.6970 0.2370
net net1  -0.4017 0.0723  -0.3663 0.0885
net net1  -0.4007 0.0885  -0.3673 0.1056
net net1  -0.3997 0.1056  -0.3683 0.1217
net net1  -0.3987 0.1217  -0.3693 0.1389
net net2  -0.3039 0.0723  -0.2721 0.0885
net net2  -0.3029 0.0885  -0.2731 0.1056
net net2  -0.3019 0.1056  -0.2741 0.1217
net net2  -0.3009 0.1217  -0.2751 0.1389
net net3  -0.2079 0.0723  -0.1761 0.0885
net net3  -0.2069 0.0885  -0.1771 0.1056
net net3  -0.2059 0.1056  -0.1781 0.1217
net net3  -0.2049 0.1217  -0.1791 0.1389
net net4  -0.1119 0.0723  -0.0801 0.0885
net net4  -0.1109 0.0885  -0.0811 0.1056
net net4  -0.1099 0.1056  -0.0821 0.1217
net net4  -0.1089 0.1217  -0.0831 0.1389
net net5  -0.0177 0.0723   0.0177 0.0885
net net5  -0.0167 0.0885   0.0167 0.1056
net net5  -0.0157 0.1056   0.0157 0.1217
net net5  -0.0147 0.1217   0.0147 0.1389
net net6   0.0801 0.0723   0.1119 0.0885
net net6   0.0811 0.0885   0.1109 0.1056
net net6   0.0821 0.1056   0.1099 0.1217
net net6   0.0831 0.1217   0.1089 0.1389
net net7   0.1761 0.0723   0.2079 0.0885
net net7   0.1771 0.0885   0.2069 0.1056
net net7   0.1781 0.1056   0.2059 0.1217
net net7   0.1791 0.1217   0.2049 0.1389
net net8   0.2721 0.0723   0.3039 0.0885
net net8   0.2731 0.0885   0.3029 0.1056
net net8   0.2741 0.1056   0.3019 0.1217
net net8   0.2751 0.1217   0.3009 0.1389
net net9   0.3663 0.0723   0.4017 0.0885
net net9   0.3673 0.0885   0.4007 0.1056
net net9   0.3683 0.1056   0.3997 0.1217
net net9   0.3693 0.1217   0.3987 0.1389
net net10   0.4641 0.0723   0.4959 0.0885
net net10   0.4651 0.0885   0.4949 0.1056
net net10   0.4661 0.1056   0.4939 0.1217
net net10   0.4671 0.1217   0.4929 0.1389
net net11   0.5601 0.0723   0.5919 0.0885
net net11   0.5611 0.0885   0.5909 0.1056
net net11   0.5621 0.1056   0.5899 0.1217
net net11   0.5631 0.1217   0.5889 0.1389
net net12   0.6561 0.0723   0.6879 0.0885
net net12   0.6571 0.0885   0.6869 0.1056
net net12   0.6581 0.1056   0.6859 0.1217
net net12   0.6591 0.1217   0.6849 0.1389
net net13   0.7503 0.0723   0.7857 0.0885
net net13   0.7513 0.0885   0.7847 0.1056
net net13   0.7523 0.1056   0.7837 0.1217
net net13   0.7533 0.1217   0.7827 0.1389
net net14   0.8481 0.0723   0.8799 0.0885
net net14   0.8491 0.0885   0.8789 0.1056
net net14   0.8501 0.1056   0.8779 0.1217
net net14   0.8511 0.1217   0.8769 0.1389
net net15   0.9441 0.0723   0.9759 0.0885
net net15   0.9451 0.0885   0.9749 0.1056
net net15   0.9461 0.1056   0.9739 0.1217
net net15   0.9471 0.1217   0.9729 0.1389
net net16   1.0401 0.0723   1.0719 0.0885
net net16   1.0411 0.0885   1.0709 0.1056
net net16   1.0421 0.1056   1.0699 0.1217
net net16   1.0431 0.1217   1.0689 0.1389
net net17   1.2331 0.0723   1.2639 0.0885
net net17   1.2341 0.0885   1.2629 0.1056
net net17   1.2351 0.1056   1.2619 0.1217
net net17   1.2361 0.1217   1.2609 0.1389
net net18   1.3281 0.0723   1.3599 0.0885
net net18   1.3291 0.0885   1.3589 0.1056
net net18   1.3301 0.1056   1.3579 0.1217
net net18   1.3311 0.1217   1.3569 0.1389
